Country Name,Country Code,Indicator Name,Indicator Code,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Aruba,ABW,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Afghanistan,AFG,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,0.017788992,0.029424703,0.033100951,0.055437714,0.182464306,0.392505227,0.569600772,0.654265039,0.612869673,1.271692171,1.417424648,1.368622655,,,,,,,,,,,,,,,,,,,,,0.02910108,0.026685832,0.025399069,0.025973275,0.022144089,0.014695703,0.016138034,0.005457782,0.004964057,0.006616162,0.109759659,0.004017108,0.003166118,0.001076378,0.00087222,0.001295897,0.001938514,0.001627763
Angola,AGO,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,,,,,,,,,,,19.01828195,9.4161205,3.763798778,9.810077495,15.8714986,14.47209409,6.41819858,16.39086272,14.89309267,22.42251754,27.94341003,16.27983673,26.63800664,31.73059654,36.50885151,39.3511349,43.81466546,37.32050846,16.09034555,37.83741687,53.87329439,36.84146335,26.58661813,22.77500244,39.39508812,45.25057071,43.01683456,45.78261637,55.38341936,30.18239771,39.67550426,40.70719732,35.79568651,30.38988354,23.27044658,10.34477721,10.28979071,15.8255471,26.2315111,25.09030304
Albania,ALB,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,,,,,,,,,,,,,,,13.10227074,13.13503685,4.860645482,7.989683048,4.924631898,7.717982123,7.552769602,4.108113118,4.292201849,2.341223579,1.324978994,1.056173413,1.053315115,1.135136245,0.17592099,0.441779765,0.945520258,0.650141974,0.664610136,0.64451264,0.682981057,0.926516999,1.116130858,0.839428176,0.916225276,0.459639845,1.357482152,2.738163087,3.008475661,2.649667207,2.776633513,1.337058538,1.156373062,1.139781815,1.545188075,1.353546427
Andorra,AND,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,12.72507954,14.38473654,16.69336498,21.64675975,48.1271531,38.83730882,39.2460568,37.66481957,33.92714141,57.6327932,51.46085688,38.22432794,24.66744141,24.18694531,23.71271623,20.9100871,13.49674259,17.88665676,16.58616584,23.73894574,24.29244049,20.27414464,21.04643777,20.35464064,18.33058395,18.8082452,21.51636902,18.49546361,12.08599027,16.00830455,25.27265347,20.21669654,19.73514838,22.64235647,28.21148515,35.08563675,35.13982856,31.88126963,36.22493979,22.81927452,27.72167344,34.00067024,32.89952466,29.89158941,26.4838933,15.38651406,12.99649897,16.84638721,21.54537999,19.19432127
United Arab Emirates,ARE,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,,,,,,41.63110504,40.71950074,34.97622606,34.07284352,60.01197266,46.49293197,31.33001619,22.40011417,22.92351113,22.97145451,23.77262877,15.87319758,23.72368267,20.0157071,29.18549878,36.24234246,24.41173971,23.1054209,20.26978283,17.59750369,17.49825469,19.91778472,17.05215208,11.22898719,14.17111984,21.11876578,16.22614008,14.67297205,17.09744635,20.10158003,24.85957236,25.06252785,22.87601288,27.34834029,18.01948453,21.72186138,28.81929552,28.52954561,25.77751274,23.04637103,13.12454356,10.82449631,13.04211312,16.58695057,16.19750695
Argentina,ARG,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,0.268367182,0.394582758,0.443897304,0.468589416,1.726999632,2.181948962,2.445559844,2.064427219,2.299939021,5.10034889,5.956742182,4.929196233,2.860266735,3.034125041,3.76320136,3.121262836,1.038116873,1.632318077,1.122252813,2.809757845,2.223465077,0.943813344,0.964139951,0.963019136,0.885737102,1.065655147,1.419268271,1.248429346,0.639270077,1.129849239,1.988696409,1.613399648,4.708040861,4.17733204,4.06691283,4.841347281,4.827765887,3.923236035,4.145675861,2.131029045,2.336068658,2.688902462,2.425584474,2.216786488,2.056850279,0.712016894,0.537246825,0.723847251,1.415096782,1.532573846
Armenia,ARM,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
American Samoa,ASM,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Antigua and Barbuda,ATG,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
